round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
First,Vince Spadea,2-6 2-6 7-5 6-2 6-3,2008,m,Vince Spadea,Radek Stepanek,USA,CZE,55%,57%,0,8,8,1,70%,67%,52%,59%,,,,,,,63%,36%,36%,36%,137,135,,,,,,
First,Marcos Baghdatis,7-6(0) 6-2 3-6 6-3,2008,m,Marcos Baghdatis,Thomas Johansson,CYP,SWE,52%,57%,16,7,4,5,83%,66%,48%,45%,216,213,191,180,143,143,29%,27%,43%,34%,138,117,50,36,40,47,83%,60%
First,Sam Querrey,6-3 6-2 7-5,2008,m,Sam Querrey,Olivier Rochus,USA,BEL,60%,51%,21,2,4,4,86%,49%,52%,51%,,,,,,,40%,33%,48%,27%,111,75,,,,,,
First,David Nalbandian,6-1 6-1 7-6(3),2008,m,David Nalbandian,Robert Smeets,ARG,AUS,49%,44%,4,6,5,5,81%,63%,68%,41%,199,202,185,187,158,158,67%,50%,49%,25%,99,63,21,19,24,41,55%,44%
First,Marat Safin,6-0 6-4 7-6(2),2008,m,Marat Safin,Ernests Gulbis,RUS,LAT,46%,51%,6,8,1,6,79%,64%,62%,43%,221,220,206,199,164,164,36%,33%,46%,30%,109,84,16,28,27,43,72%,77%
First,Robin Haase,6-7(2) 6-3 6-0 7-6(1),2008,m,Robin Haase,Ivan Ljubicic,NED,CRO,57%,56%,16,16,9,4,80%,68%,50%,43%,,,,,,,43%,22%,43%,33%,150,124,,,,,,
First,Fabrice Santoro,6-2 6-2 6-4,2008,m,Fabrice Santoro,John Isner,FRA,USA,61%,70%,3,11,0,6,71%,66%,81%,29%,,,,,,,67%,50%,42%,25%,86,61,,,,,,
First,Oscar Hernandez,1-6 7-6(5) 6-2 6-1,2008,m,Oscar Hernandez,Ivo Minar,ESP,CZE,61%,57%,10,3,4,2,78%,58%,45%,61%,,,,,,,56%,50%,41%,35%,109,94,,,,,,
First,Tomas Berdych,6-4 6-4 6-4,2008,m,Tomas Berdych,Werner Eschauer,CZE,AUT,65%,55%,10,9,2,5,71%,64%,64%,38%,,,,,,,67%,75%,46%,31%,105,80,,,,,,
First,Denis Istomin,6-3 6-7(1) 7-6(4) 6-1,2008,m,Denis Istomin,Lukas Lacko,UZB,SVK,65%,54%,5,8,3,7,72%,71%,63%,47%,,,,,,,35%,29%,38%,30%,142,125,,,,,,
First,David Ferrer,6-2 6-2 6-1,2008,m,David Ferrer,Edouard Roger-Vasselin,ESP,FRA,72%,58%,3,2,2,2,77%,49%,71%,32%,192,197,176,182,148,148,73%,17%,58%,25%,89,46,30,15,15,34,53%,41%
First,Denis Gremelmayr,6-1 0-6 6-4 7-5,2008,m,Denis Gremelmayr,Sergio Roitman,GER,ARG,53%,55%,13,7,5,6,75%,62%,46%,54%,,,,,,,45%,17%,42%,39%,125,116,,,,,,
First,Lleyton Hewitt,6-0 6-3 6-0,2008,m,Lleyton Hewitt,Steve Darcis,AUS,BEL,55%,49%,14,1,6,0,83%,58%,68%,19%,204,194,191,179,148,148,62%,100%,62%,24%,75,33,29,10,12,21,82%,56%
First,Fernando Gonzalez,6-4 7-6(2) 6-1,2008,m,Fernando Gonzalez,Konstantinos Economidis,CHI,GRE,59%,58%,10,2,4,4,82%,65%,64%,49%,208,198,176,183,148,148,50%,0%,42%,25%,102,74,47,16,36,30,69%,64%
First,Roger Federer,6-0 6-3 6-0,2008,m,Roger Federer,Diego Hartfield,SUI,ARG,72%,63%,11,3,1,1,83%,51%,56%,26%,8,198,85,180,155,155,70%,0%,58%,25%,85,42,38,11,14,20,69%,50%
First,Juan Monaco,7-6(5) 7-5 6-1,2008,m,Juan Monaco,Carlos Berlocq,ARG,ARG,66%,45%,6,7,2,7,71%,65%,44%,39%,191,209,172,187,143,143,70%,67%,49%,38%,108,88,40,29,26,41,70%,62%
First,James Blake,6-3 6-2 6-2,2008,m,James Blake,Nicolas Massu,USA,CHI,55%,74%,11,6,2,3,84%,57%,53%,35%,215,207,184,183,146,146,46%,25%,49%,30%,93,63,41,18,18,21,79%,47%
First,Michael Russell,6-1 4-6 6-2 3-6 6-3,2008,m,Michael Russell,Fabio Fognini,USA,ITA,70%,45%,6,6,3,9,67%,66%,63%,51%,,,,,,,55%,60%,39%,33%,143,120,,,,,,
First,Dmitry Tursunov,6-7(1) 5-7 6-2 6-1 6-3,2008,m,Dmitry Tursunov,Xavier Malisse,RUS,BEL,64%,54%,15,11,1,4,73%,76%,64%,50%,,,,,,,47%,29%,36%,30%,148,130,,,,,,
First,Juan Carlos Ferrero,6-4 6-3 6-1,2008,m,Juan Carlos Ferrero,Nicolas Kiefer,ESP,GER,70%,51%,9,6,2,5,77%,66%,58%,41%,202,211,181,188,149,149,56%,0%,46%,28%,95,66,37,21,27,34,55%,54%
First,Amer Delic,6-4 7-5 6-2,2008,m,Amer Delic,Robert Kendrick,BIH,USA,67%,56%,8,6,4,2,74%,76%,58%,36%,,,,,,,83%,20%,40%,30%,98,77,,,,,,
First,Philipp Kohlschreiber,6-4 7-6(5) 6-1,2008,m,Philipp Kohlschreiber,Roko Karanusic,GER,CRO,77%,65%,4,6,2,1,67%,69%,59%,41%,,,,,,,44%,9%,40%,34%,112,94,,,,,,
First,Nikolay Davydenko,7-5 7-5 6-3,2008,m,Nikolay Davydenko,Michael Llodra,RUS,FRA,79%,59%,1,4,4,4,77%,67%,37%,40%,191,212,159,182,158,158,60%,40%,44%,32%,108,87,31,24,22,44,68%,55%
First,Feliciano Lopez,7-6(6) 6-1 6-4,2008,m,Feliciano Lopez,Wayne Odesnik,ESP,USA,58%,53%,28,6,6,3,84%,71%,63%,68%,,,,,,,75%,0%,30%,24%,95,78,,,,,,
First,Dudi Sela,6-2 6-4 6-2,2008,m,Dudi Sela,Martin Slanar,ISR,AUT,70%,60%,1,3,3,4,72%,63%,58%,37%,,,,,,,45%,0%,47%,32%,111,79,,,,,,
First,Jarkko Nieminen,6-3 6-1 5-7 2-6 6-1,2008,m,Jarkko Nieminen,Frank Dancevic,FIN,CAN,67%,62%,1,13,2,1,76%,68%,51%,52%,,,,,,,50%,100%,38%,32%,125,115,,,,,,
First,Nicolas Mahut,7-6(2) 5-7 6-2 3-6 7-5,2008,m,Nicolas Mahut,Jose Acasuso,FRA,ARG,58%,55%,13,14,9,7,71%,72%,60%,51%,,,,,,,36%,33%,37%,34%,177,168,,,,,,
First,Marc Gicquel,6-3 4-6 6-7(6) 6-4 6-2,2008,m,Marc Gicquel,Yen-Hsun Lu,FRA,TPE,61%,57%,14,3,8,5,73%,66%,42%,50%,,,,,,,44%,22%,41%,39%,187,177,,,,,,
First,Mardy Fish,6-2 6-3 3-6 6-3,2008,m,Mardy Fish,Boris Pashanski,USA,SRB,60%,69%,12,1,2,5,77%,63%,51%,39%,,,,,,,38%,60%,45%,34%,125,103,,,,,,
First,Ivo Karlovic,6-4 6-4 6-7(1) 6-4,2008,m,Ivo Karlovic,Jamie Baker,CRO,GBR,60%,69%,19,6,4,2,75%,61%,58%,64%,,,,,,,36%,33%,38%,32%,138,124,,,,,,
First,Florent Serra,6-3 7-6(2) 7-6(5),2008,m,Florent Serra,Florian Mayer,FRA,GER,55%,65%,2,8,3,3,73%,63%,62%,46%,,,,,,,43%,40%,43%,32%,126,108,,,,,,
First,Rafael Nadal,7-6(3) 7-5 6-1,2008,m,Rafael Nadal,Viktor Troicki,ESP,SRB,61%,67%,4,14,4,2,67%,72%,76%,31%,201,212,184,192,143,143,42%,40%,41%,29%,107,85,24,40,16,41,77%,65%
First,Stefan Koubek,7-6(5) 6-7(2) 7-5 6-4,2008,m,Stefan Koubek,Carlos Moya,AUT,ESP,56%,65%,5,7,11,5,69%,64%,54%,54%,198,209,176,182,146,146,50%,33%,39%,37%,162,157,59,40,59,61,79%,65%
First,Andreas Seppi,6-4 6-2 6-1,2008,m,Andreas Seppi,Harel Levy,ITA,ISR,55%,57%,6,0,1,3,79%,47%,56%,50%,,,,,,,50%,100%,52%,32%,91,60,,,,,,
First,Gilles Simon,4-6 6-4 6-2 6-7(3) 6-4,2008,m,Gilles Simon,Bobby Reynolds,FRA,USA,69%,54%,10,11,6,2,74%,68%,44%,55%,,,,,,,33%,15%,38%,35%,179,168,,,,,,
First,Alejandro Falla,5-7 7-5 6-7(8) 6-2 7-5,2008,m,Alejandro Falla,Kevin Anderson,COL,RSA,61%,69%,4,13,4,8,67%,62%,58%,52%,,,,,,,44%,29%,42%,37%,194,181,,,,,,
First,Guillermo Garcia-Lopez,6-4 6-2 1-6 6-2,2008,m,Guillermo Garcia-Lopez,Juan Ignacio Chela,ESP,ARG,67%,60%,1,2,4,8,63%,57%,52%,46%,,,,,,,44%,83%,47%,40%,115,104,,,,,,
First,Evgeny Korolev,7-5 6-2 6-0,2008,m,Evgeny Korolev,Marcel Granollers,KAZ,ESP,60%,58%,3,1,1,7,79%,45%,58%,55%,,,,,,,78%,11%,51%,29%,92,59,,,,,,
First,Jo-Wilfried Tsonga,7-5 6-4 0-6 7-6(5),2008,m,Jo-Wilfried Tsonga,Andy Murray,FRA,GBR,59%,58%,7,7,6,3,71%,68%,43%,49%,214,212,190,185,135,135,31%,50%,40%,40%,135,137,57,38,61,27,67%,56%
First,Paul-Henri Mathieu,6-1 7-6(4) 6-2,2008,m,Paul-Henri Mathieu,Victor Hanescu,FRA,ROU,60%,72%,8,1,7,2,85%,64%,51%,31%,,,,,,,26%,17%,45%,28%,109,81,,,,,,
First,Agustin Calleri,6-4 6-7(6) 6-3 6-4,2008,m,Agustin Calleri,Luis Horna,ARG,PER,50%,60%,16,14,4,3,77%,80%,68%,47%,,,,,,,38%,0%,32%,27%,133,115,,,,,,
First,Rainer Schuettler,6-4 6-2 6-7(3) 6-4,2008,m,Rainer Schuettler,Arnaud Clement,GER,FRA,66%,63%,4,3,5,4,61%,63%,69%,47%,199,200,167,177,147,147,47%,27%,43%,36%,140,126,30,27,37,51,79%,53%
First,Kristof Vliegen,6-0 6-1 7-6(3),2008,m,Kristof Vliegen,Olivier Patience,BEL,FRA,61%,74%,9,4,1,2,78%,52%,69%,42%,,,,,,,50%,25%,49%,25%,103,65,,,,,,
First,Sam Warburg,2-6 6-2 6-3 2-6 6-4,2008,m,Sam Warburg,Juan-Pablo Brzezicki,USA,ARG,70%,67%,5,7,4,4,60%,62%,59%,46%,,,,,,,44%,44%,42%,40%,143,135,,,,,,
First,Michael Berrer,6-7(5) 7-6(4) 6-3 7-6(5),2008,m,Michael Berrer,Donald Young,GER,USA,68%,61%,7,4,10,8,78%,64%,47%,51%,211,203,187,164,136,136,33%,50%,41%,32%,172,152,38,49,53,67,65%,63%
First,Mikhail Youzhny,6-0 6-2 7-6(3),2008,m,Mikhail Youzhny,Mathieu Montcourt,RUS,FRA,66%,56%,5,1,2,5,74%,60%,50%,36%,205,200,185,186,156,156,100%,11%,51%,34%,103,72,35,16,33,38,79%,68%
First,Jesse Levine,6-1 7-5 6-1,2008,m,Jesse Levine,Martin Vassallo Arguello,CAN,ARG,65%,60%,3,1,3,5,73%,52%,50%,35%,,,,,,,73%,29%,55%,35%,94,63,,,,,,
First,Richard Gasquet,6-0 6-1 3-6 6-2,2008,m,Richard Gasquet,Nick Lindahl,FRA,AUS,59%,62%,12,7,4,5,78%,64%,72%,36%,207,210,188,187,141,141,41%,50%,47%,24%,111,78,44,29,21,37,60%,62%
First,Igor Andreev,5-7 6-2 7-6(4) 6-3,2008,m,Igor Andreev,Andrei Pavel,RUS,ROU,73%,74%,7,3,2,1,75%,62%,65%,67%,,,,,,,50%,25%,37%,28%,143,124,,,,,,
First,Andy Roddick,6-3 6-4 7-5,2008,m,Andy Roddick,Lukas Dlouhy,USA,CZE,65%,56%,13,7,2,12,76%,67%,58%,41%,228,213,199,186,148,148,45%,29%,44%,30%,101,76,28,33,11,44,67%,74%
First,Paul Capdeville,6-4 7-5 6-4,2008,m,Paul Capdeville,Brydan Klein,CHI,AUS,74%,56%,3,4,1,7,72%,63%,52%,52%,194,209,170,185,156,156,45%,50%,42%,33%,112,98,33,40,18,45,67%,59%
First,Tommy Robredo,4-6 2-6 7-6(2) 6-4 7-5,2008,m,Tommy Robredo,Mischa Zverev,ESP,GER,66%,77%,4,2,7,1,69%,64%,42%,34%,197,196,172,173,136,136,41%,42%,43%,40%,193,183,88,66,38,34,74%,56%
First,Nicolas Almagro,6-4 6-4 3-6 5-7 6-3,2009,m,Nicolas Almagro,Nicolas Massu,ESP,CHI,60%,64%,29,8,4,7,83%,74%,58%,58%,208,187,180,171,146,138,44%,43%,32%,27%,144,132,56,43,37,46,71%,61%
First,Jo-Wilfried Tsonga,6-4 6-4 6-0,2009,m,Jo-Wilfried Tsonga,Juan Monaco,FRA,ARG,47%,64%,5,3,2,2,84%,53%,63%,41%,208,195,190,179,150,150,70%,67%,51%,27%,86,54,27,11,30,27,80%,53%
First,Richard Gasquet,6-7(5) 7-6(3) 6-3 6-4,2009,m,Richard Gasquet,Diego Junqueira,FRA,ARG,58%,65%,16,3,4,5,79%,69%,59%,45%,203,174,183,156,151,129,28%,30%,40%,29%,161,136,76,49,50,44,63%,47%
First,Marcel Granollers,6-4 7-6(3) 4-6 6-0,2009,m,Marcel Granollers,Teimuraz Gabashvili,ESP,RUS,63%,49%,12,6,3,10,73%,69%,50%,43%,,,,,NULL,NULL,50%,40%,43%,36%,130,113,,,,,,
First,Ivo Karlovic,6-3 6-4 6-4,2009,m,Ivo Karlovic,Daniel Gimeno-Traver,CRO,ESP,55%,84%,13,1,2,1,87%,67%,65%,43%,,,,,0,0,30%,0%,37%,23%,95,74,,,,,,
First,Jurgen Melzer,7-5 6-2 6-1,2009,m,Jurgen Melzer,Kei Nishikori,AUT,JPN,60%,57%,5,3,2,6,83%,51%,52%,45%,185,187,166,164,142,143,64%,29%,52%,29%,103,68,35,16,26,42,63%,24%
First,Chris Guccione,6-4 6-2 6-4,2009,m,Chris Guccione,Nicolas Devilder,AUS,FRA,61%,61%,12,5,4,4,80%,54%,59%,55%,214,200,187,158,153,132,38%,50%,45%,28%,98,74,46,32,21,19,61%,50%
First,Dudi Sela,1-6 6-2 6-4 6-4,2009,m,Dudi Sela,Rainer Schuettler,ISR,GER,72%,79%,2,2,3,3,69%,57%,40%,41%,,,,,0,0,37%,50%,46%,39%,124,110,,,,,,
First,Gilles Simon,6-4 6-1 6-1,2009,m,Gilles Simon,Pablo Andujar,FRA,ESP,48%,57%,8,1,3,5,65%,50%,55%,41%,201,188,182,177,132,151,47%,25%,54%,40%,108,82,42,16,35,39,48%,48%
First,Flavio Cipolla,4-6 6-2 7-6(7) 7-5,2009,m,Flavio Cipolla,Dmitry Tursunov,ITA,RUS,68%,56%,3,11,6,4,65%,68%,47%,49%,,,,,0,0,38%,24%,40%,40%,161,156,,,,,,
First,Guillermo Canas,3-6 7-5 5-7 6-0 7-5,2009,m,Guillermo Canas,Dieter Kindlmann,ARG,GER,51%,64%,21,3,4,6,78%,60%,50%,45%,,,,,0,0,41%,50%,45%,36%,167,142,,,,,,
First,Rafael Nadal,6-0 6-2 6-2,2009,m,Rafael Nadal,Christophe Rochus,ESP,BEL,69%,65%,10,1,2,2,91%,57%,75%,24%,198,182,185,167,146,129,64%,-,54%,14%,83,40,47,7,18,22,89%,50%
First,Paul-Henri Mathieu,6-2 4-1 ret.,2009,m,Paul-Henri Mathieu,Jarkko Nieminen,FRA,FIN,58%,52%,6,3,2,1,80%,56%,67%,60%,,,,,0,0,60%,-,42%,26%,45,29,,,,,,
First,Marcos Baghdatis,6-3 7-6(5) 6-2,2009,m,Marcos Baghdatis,Julien Benneteau,CYP,FRA,43%,61%,7,4,2,7,78%,65%,53%,41%,203,195,183,175,145,138,38%,13%,44%,37%,116,101,48,27,41,35,79%,42%
First,Stanislas Wawrinka,6-1 2-6 7-5 7-6(9),2009,m,Stanislas Wawrinka,Ivo Minar,SUI,CZE,59%,59%,4,7,6,5,68%,66%,48%,42%,,,,,0,0,70%,43%,44%,40%,123,113,,,,,,
First,Xavier Malisse,7-6(8) 6-1 6-1,2009,m,Xavier Malisse,Michael Llodra,BEL,FRA,70%,62%,5,8,2,1,79%,59%,52%,53%,,,,,0,0,28%,0%,44%,29%,102,81,,,,,,
First,Novak Djokovic,6-2 6-3 7-5,2009,m,Novak Djokovic,Andrea Stoppini,SRB,ITA,68%,54%,8,6,1,6,68%,56%,58%,41%,201,196,190,172,161,145,39%,50%,51%,35%,104,80,34,28,27,36,47%,59%
First,Philipp Kohlschreiber,7-6(6) 6-3 6-2,2009,m,Philipp Kohlschreiber,Sam Querrey,GER,USA,64%,54%,8,10,5,1,77%,73%,54%,63%,195,209,172,185,151,154,60%,0%,32%,33%,97,88,35,27,38,36,69%,64%
First,Andy Roddick,6-0 6-2 6-2,2009,m,Andy Roddick,Bjorn Rehnquist,USA,SWE,54%,57%,9,0,1,2,76%,51%,69%,32%,212,190,190,156,156,129,70%,-,57%,27%,83,45,17,22,10,37,63%,63%
First,Mardy Fish,6-7(3) 6-4 7-5 6-0,2009,m,Mardy Fish,Samuel Groth,USA,AUS,57%,57%,18,15,6,9,89%,66%,50%,45%,211,222,185,192,145,164,41%,100%,43%,28%,134,104,44,41,28,48,63%,48%
First,Jeremy Chardy,6-4 6-4 6-1,2009,m,Jeremy Chardy,Marcos Daniel,FRA,BRA,62%,55%,18,8,3,9,80%,65%,63%,34%,,,,,0,0,40%,100%,49%,27%,100,69,,,,,,
First,Guillermo Garcia-Lopez,3-6 7-6(5) 6-2 6-0,2009,m,Guillermo Garcia-Lopez,Agustin Calleri,ESP,ARG,61%,57%,4,10,5,12,64%,66%,55%,33%,,,,,0,0,56%,50%,48%,40%,120,101,,,,,,
First,Tommy Robredo,6-2 7-5 6-1,2009,m,Tommy Robredo,Bobby Reynolds,ESP,USA,69%,59%,10,7,1,5,81%,67%,95%,35%,,,,,0,0,60%,-,46%,15%,87,50,,,,,,
First,Viktor Troicki,6-3 3-6 6-2 6-4,2009,m,Viktor Troicki,Alberto Martin,SRB,ESP,61%,57%,12,3,1,6,78%,67%,55%,50%,,,,,0,0,55%,38%,41%,31%,110,93,,,,,,
First,Yen-Hsun Lu,6-3 7-5 6-4,2009,m,Yen-Hsun Lu,Thomaz Bellucci,TPE,BRA,55%,58%,9,9,3,5,78%,76%,54%,53%,,,,,0,0,100%,8%,34%,33%,101,85,,,,,,
First,Bernard Tomic,7-6(5) 1-6 7-6(5) 7-6(6),2009,m,Bernard Tomic,Potito Starace,AUS,ITA,64%,67%,10,13,1,7,66%,75%,62%,45%,182,192,169,172,135,151,23%,71%,35%,36%,151,162,61,47,61,50,62%,66%
First,Fabrice Santoro,6-3 6-2 6-7(5) 6-2,2009,m,Fabrice Santoro,Juan Carlos Ferrero,FRA,ESP,47%,56%,17,2,3,2,84%,69%,48%,39%,193,196,177,177,143,146,100%,43%,45%,36%,123,101,36,45,24,56,70%,71%
First,Robin Soderling,5-7 6-4 6-4 7-5,2009,m,Robin Soderling,Robert Kendrick,SWE,USA,68%,61%,11,20,2,6,83%,81%,72%,47%,,,,,0,0,43%,17%,32%,20%,132,109,,,,,,
First,Brydan Klein,6-4 6-3 4-6 6-3,2009,m,Brydan Klein,Bjorn Phau,AUS,GER,63%,49%,14,3,6,7,76%,71%,41%,47%,216,201,183,185,145,158,50%,57%,42%,37%,114,105,39,24,46,34,63%,71%
First,Dominik Hrbaty,7-6(4) 2-6 6-2 7-5,2009,m,Dominik Hrbaty,John Isner,SVK,USA,67%,64%,6,39,5,8,74%,77%,59%,40%,,,,,0,0,33%,67%,36%,31%,132,125,,,,,,
First,Marin Cilic,6-3 6-2 6-7(4) 6-3,2009,m,Marin Cilic,Kevin Anderson,CRO,RSA,51%,60%,16,8,8,7,88%,67%,48%,45%,,,,,0,0,43%,22%,42%,32%,134,108,,,,,,
First,Florian Mayer,6-2 6-1 6-2,2009,m,Florian Mayer,Lamine Ouahab,GER,ALG,58%,51%,4,0,1,4,78%,62%,66%,26%,,,,,0,0,50%,100%,56%,28%,90,51,,,,,,
First,Tomas Berdych,6-4 6-4 6-3,2009,m,Tomas Berdych,Robby Ginepri,CZE,USA,63%,65%,9,6,4,3,82%,64%,57%,39%,208,185,195,166,154,135,36%,20%,45%,27%,105,79,33,27,34,50,71%,55%
First,Evgeny Korolev,6-3 6-1 7-6(7),2009,m,Evgeny Korolev,Carlos Moya,KAZ,ESP,60%,44%,9,10,3,11,90%,80%,48%,33%,196,211,183,193,150,156,45%,50%,46%,27%,102,71,39,28,21,35,71%,80%
First,Marat Safin,6-3 6-3 6-4,2009,m,Marat Safin,Ivan Navarro,RUS,ESP,48%,53%,8,6,5,2,85%,75%,59%,44%,211,200,203,190,159,154,67%,0%,40%,29%,96,79,36,22,26,21,59%,35%
First,David Ferrer,6-1 6-7(6) 6-1 6-7(4) 6-4,2009,m,David Ferrer,Denis Gremelmayr,ESP,GER,54%,52%,8,5,8,7,72%,66%,54%,43%,188,188,171,174,150,138,40%,25%,45%,36%,192,163,58,58,68,84,67%,66%
First,Brian Dabul,6-1 6-2 6-4,2009,m,Brian Dabul,Philipp Petzschner,ARG,GER,80%,68%,6,5,0,8,77%,65%,60%,19%,,,,,0,0,60%,33%,50%,26%,96,60,,,,,,
First,David Nalbandian,6-1 4-6 6-2 6-3,2009,m,David Nalbandian,Marc Gicquel,ARG,FRA,58%,50%,4,9,8,2,71%,63%,47%,45%,188,203,175,193,143,151,47%,20%,46%,39%,126,107,36,32,43,51,66%,63%
First,Janko Tipsarevic,4-6 6-1 6-3 4-6 6-0,2009,m,Janko Tipsarevic,Oscar Hernandez,SRB,ESP,58%,56%,15,13,4,11,77%,66%,45%,38%,,,,,0,0,53%,17%,43%,36%,163,132,,,,,,
First,Juan Martin Del Potro,6-3 6-4 6-2,2009,m,Juan Martin Del Potro,Mischa Zverev,ARG,GER,65%,61%,7,5,4,2,70%,56%,66%,43%,209,187,185,172,150,142,43%,33%,49%,31%,104,75,49,21,23,25,82%,45%
First,Simone Bolelli,7-6(5) 7-6(3) 7-5,2009,m,Simone Bolelli,Kristof Vliegen,ITA,BEL,54%,53%,3,10,1,2,78%,74%,69%,71%,,,,,0,0,40%,50%,27%,26%,110,103,,,,,,
First,Amer Delic,6-4 3-6 4-6 6-3 6-4,2009,m,Amer Delic,Taylor Dent,BIH,USA,74%,68%,21,8,5,10,76%,80%,47%,48%,,,,,0,0,43%,40%,30%,31%,139,138,,,,,,
First,Roger Federer,6-1 7-6(4) 7-5,2009,m,Roger Federer,Andreas Seppi,SUI,ITA,59%,60%,9,1,5,5,76%,68%,57%,50%,203,198,190,182,156,142,30%,0%,41%,33%,122,102,45,28,43,45,72%,68%
Second,Guillermo Canas,6-1 4-6 2-6 7-6(2) 6-4,2004,m,Guillermo Canas,Agustin Calleri,ARG,ARG,55%,55%,13,12,7,7,61%,65%,49%,39%,196,201,169,176,140,140,43%,60%,47%,44%,153,149,35,72,29,67,68%,67%
Second,David Nalbandian,6-1 6-0 6-3,2004,m,David Nalbandian,Florian Mayer,ARG,GER,70%,68%,4,1,1,3,71%,48%,44%,37%,185,180,168,165,129,129,47%,17%,55%,37%,104,73,31,18,31,44,81%,63%
Second,Jiri Novak,6-2 7-6(3) 6-4,2004,m,Jiri Novak,Jan Vacek,CZE,CZE,74%,62%,4,3,2,1,73%,61%,52%,48%,191,190,172,168,134,134,45%,40%,44%,32%,111,89,26,38,28,56,61%,53%
Second,Wayne Ferreira,2-6 6-3 6-4 6-4,2004,m,Wayne Ferreira,David Sanchez-Munoz,RSA,ESP,69%,64%,8,1,2,1,66%,66%,55%,49%,187,185,162,162,123,123,31%,43%,40%,37%,125,117,61,21,60,25,63%,50%
Second,Joachim Johansson,7-6(5) 6-3 7-5,2004,m,Joachim Johansson,Alberto Martin,SWE,ESP,63%,63%,10,2,10,5,83%,75%,56%,40%,,,,,,,50%,50%,38%,27%,111,92,53,23,35,18,65%,67%
Second,Andrei Pavel,6-4 6-4 6-2,2004,m,Andrei Pavel,Glenn Weiner,ROU,USA,63%,57%,9,19,2,6,78%,76%,47%,29%,,,,,,,71%,20%,44%,33%,97,76,30,43,10,29,55%,42%
Second,Juan Carlos Ferrero,6-4 7-6(3) 7-5,2004,m,Juan Carlos Ferrero,Filippo Volandri,ESP,ITA,58%,61%,2,2,6,7,73%,63%,51%,45%,191,187,175,165,136,136,60%,80%,44%,36%,115,101,16,30,34,53,67%,79%
Second,Lleyton Hewitt,1-6 6-1 6-4 6-1,2004,m,Lleyton Hewitt,Karol Kucera,AUS,SVK,60%,55%,3,5,3,14,60%,54%,54%,39%,191,195,175,178,144,144,60%,56%,52%,42%,110,90,33,24,34,44,82%,52%
Second,Jurgen Melzer,6-3 6-4 6-3,2004,m,Jurgen Melzer,Galo Blanco,AUT,ESP,62%,59%,11,3,9,5,79%,69%,43%,44%,,,,,,,50%,0%,41%,35%,108,89,38,28,29,30,63%,59%
Second,Olivier Patience,7-6(2) 6-7(7) 6-3 6-2,2004,m,Olivier Patience,Nikolay Davydenko,FRA,RUS,68%,72%,8,4,2,5,72%,62%,50%,51%,,,,,,,40%,33%,41%,35%,151,133,40,29,57,57,62%,58%
Second,Andy Roddick,6-2 6-2 6-3,2004,m,Andy Roddick,Bohdan Ulihrach,USA,CZE,65%,51%,20,2,2,5,93%,67%,61%,43%,225,188,198,174,142,142,56%,0%,45%,18%,88,54,34,19,16,30,67%,67%
Second,Robby Ginepri,6-4 6-3 6-3,2004,m,Robby Ginepri,Chris Guccione,USA,AUS,66%,62%,11,11,1,3,89%,78%,70%,37%,201,211,176,189,154,154,50%,-,38%,18%,86,61,41,23,9,21,70%,53%
Second,Taylor Dent,3-6 6-4 4-6 7-6(4) 7-5,2004,m,Taylor Dent,Juan Ignacio Chela,USA,ARG,56%,60%,16,3,16,4,62%,64%,48%,46%,219,185,188,163,134,134,41%,56%,43%,44%,173,176,83,53,77,18,63%,76%
Second,Paradorn Srichaphan,6-3 ret.,2004,m,Paradorn Srichaphan,Jerome Golmard,THA,FRA,69%,46%,4,3,0,2,78%,82%,42%,54%,201,190,183,172,141,141,100%,0%,33%,33%,34,29,15,5,8,8,83%,67%
Second,James Blake,6-3 7-6(4) 2-6 6-1,2004,m,James Blake,Nicolas Lapentti,USA,ECU,62%,64%,11,10,3,3,73%,70%,54%,50%,201,198,177,170,137,137,19%,20%,37%,35%,129,119,45,39,41,29,57%,66%
Second,Gustavo Kuerten,7-5 6-7(5) 6-4 6-3,2004,m,Gustavo Kuerten,Ivan Ljubicic,BRA,CRO,58%,57%,8,17,1,4,72%,70%,53%,44%,196,208,173,184,145,145,62%,63%,41%,36%,142,127,29,65,31,76,67%,70%
Second,Dominik Hrbaty,6-1 7-5 6-0,2004,m,Dominik Hrbaty,Gaston Gaudio,SVK,ARG,61%,58%,3,1,5,4,79%,51%,50%,29%,191,180,174,167,137,137,57%,29%,58%,32%,91,53,33,15,24,27,58%,69%
Second,Sjeng Schalken,6-3 6-2 5-7 6-1,2004,m,Sjeng Schalken,David Ferrer,NED,ESP,73%,62%,2,0,4,9,69%,53%,37%,42%,169,182,155,163,128,128,48%,50%,51%,40%,132,106,19,36,29,78,60%,62%
Second,Todd Martin,7-6(4) 7-6(4) 7-6(7),2004,m,Todd Martin,Ivo Karlovic,USA,CRO,66%,64%,11,33,3,7,75%,84%,68%,48%,,,,,,,0%,0%,29%,27%,131,123,51,71,17,28,72%,52%
